Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
1,49953,1000,144872644119000,0,0,0,0,144880062768000,289752706887000,0,0
2,49070,1000,126279604815000,0,0,0,0,125720395185000,252000000000000,0,0
3,48096,1000,119276942337000,0,0,0,0,119163299598000,238440241935000,0,0
4,47165,1000,116016293337000,0,0,0,0,114983706663000,231000000000000,0,0
5,46191,1000,107843872878000,0,0,0,0,107528833797000,215372706675000,0,0
6,45221,1000,103196806951800,0,0,0,0,102603193048200,205800000000000,0,0
7,44232,1000,96575811213776,0,0,0,0,96400698092224,192976509306000,0,0
8,43300,1000,92586436572000,0,0,0,0,92556881172000,185143317744000,0,0
9,42361,1000,89147226042000,0,0,0,0,89156780916000,178304006958000,0,0
10,41383,1000,84699342315000,0,0,0,0,84657129291000,169356471606000,0,0
11,40407,1000,82015301508000,0,0,0,0,82021979613000,164037281121000,0,0
12,39426,1000,79556831718000,0,0,0,0,79553259282000,159110091000000,0,0
13,38493,1000,76544371995000,0,0,0,0,76450732386000,152995104381000,0,0
14,37511,1000,73941692118000,0,0,0,0,73946693877000,147888385995000,0,0
15,36537,1000,71050472913000,0,0,0,0,71051273349000,142101746262000,0,0
16,35580,1000,67176966864000,0,0,0,0,67517867193000,134694834057000,0,0
17,34606,1000,64543999023000,0,0,0,0,65181281214000,129725280237000,0,0
18,33623,1000,63000000000000,0,0,0,0,63000000000000,126000000000000,0,0
19,32655,1000,60758364912000,0,0,0,0,62579352129000,123337717041000,0,0
20,31670,1000,60077575656000,0,0,0,0,61234561731000,121312137387000,0,0
21,30697,1000,37075472112000,0,0,0,0,82516803726000,119592275838000,0,0
22,29697,1000,117991292937000,0,0,0,0,nil,117991292937000,0,0
23,29110,1000,39221043834000,0,0,0,0,77754931716000,116975975550000,0,0
24,28123,1000,35834916698088,0,0,0,0,79889065830000,115723982528088,0,0
25,27158,1000,35560491288000,0,0,0,0,78104905830000,113665397118000,0,0
26,26193,1000,10918056891000,0,0,0,0,100367282841000,111285339732000,0,0
27,25249,1000,24795309861000,0,0,0,0,84000000000000,108795309861000,0,0
28,24273,1000,27520032456000,0,0,0,0,78135712410000,105655744866000,0,0
29,23305,1000,2135719866000,0,0,0,0,101424785217000,103560505083000,0,0
30,22327,1000,17587135272000,0,0,0,0,83356816641000,100943951913000,0,0
31,21347,1000,-1282831683000,0,0,0,0,100054662624000,98771830941000,0,0
32,20407,1000,13853329917000,0,0,0,0,83071248099000,96924578016000,0,0
33,19473,1000,-21667481325000,0,0,0,0,117203568615000,95536087290000,0,0
34,18497,1000,-8151534825000,0,0,0,0,102263196735000,94111661910000,0,0
35,17515,1000,7354675188000,0,0,0,0,85279782210000,92634457398000,0,0
36,16539,1000,6833641836000,0,0,0,0,84348222210000,91181864046000,0,0
