Block Height,TxPool Size,# of all Txs,Diff,Balance,DeltaBalance,Tax,Subsidy,f_itx_min,f_ctx_min,P_itx_min,P_ctx_min
1,34121,1000,127109313318936,0,0,0,0,124890686681064,252000000000000,0,0
2,33373,1000,120565422537000,0,0,0,0,116558109381000,237123531918000,0,0
3,32565,1000,108072397818000,0,0,0,0,107421905493000,215494303311000,0,0
4,31741,1000,98874110454000,0,0,0,0,98865163866000,197739274320000,0,0
5,30933,1000,92760708054000,0,0,0,0,92745020088000,185505728142000,0,0
6,30126,1000,88269103503000,0,0,0,0,88239236232000,176508339735000,0,0
7,29324,1000,82913795055000,0,0,0,0,82875294222000,165789089277000,0,0
8,28504,1000,78973382040000,0,0,0,0,78896456982000,157869839022000,0,0
9,27693,1000,75214986630000,0,0,0,0,74879249445000,150094236075000,0,0
10,27016,1000,70505869623000,0,0,0,0,70517800983000,141023670606000,0,0
11,26229,1000,65405041989000,0,0,0,0,65447376099000,130852418088000,0,0
12,25413,1000,61245942093000,0,0,0,0,62579352129000,123825294222000,0,0
13,24598,1000,59863140750000,0,0,0,0,61234561731000,121097702481000,0,0
14,23778,1000,41001489984000,0,0,0,0,77864930010000,118866419994000,0,0
15,22952,1000,39662276430000,0,0,0,0,77354872119000,117017148549000,0,0
16,22100,1000,38063265996000,0,0,0,0,77408891049000,115472157045000,0,0
17,21264,1000,40272055047000,0,0,0,0,72677628471000,112949683518000,0,0
18,20444,1000,30634757769000,0,0,0,0,79376615703000,110011373472000,0,0
19,19618,1000,25886424984000,0,0,0,0,79376615703000,105263040687000,0,0
20,18802,1000,24927107184000,0,0,0,0,76638805950000,101565913134000,0,0
21,18014,1000,22459517262000,0,0,0,0,76217000874000,98676518136000,0,0
22,17227,1000,21028240590000,0,0,0,0,75318063576000,96346304166000,0,0
23,16250,1000,19611929799000,0,0,0,0,74980106649000,94592036448000,0,0
24,15435,1000,20158038915000,0,0,0,0,72733412577000,92891451492000,0,0
25,14609,1000,15667047354000,0,0,0,0,75743437266000,91410484620000,0,0
26,13801,1000,18533087244000,0,0,0,0,71422911966000,89955999210000,0,0
27,12973,1000,7176794037000,0,0,0,0,81369440103000,88546234140000,0,0
28,12192,1000,11496984324000,0,0,0,0,75402858132000,86899842456000,0,0
29,11367,1000,2847493572000,0,0,0,0,82047240009000,84894733581000,0,0
30,10587,1000,6947833641000,0,0,0,0,77052166359000,84000000000000,0,0
31,9766,1000,5397919401000,0,0,0,0,77552080599000,82950000000000,0,0
32,8931,1000,4615101120000,0,0,0,0,76673157372000,81288258492000,0,0
33,8153,1000,3955344372000,0,0,0,0,76247193372000,80202537744000,0,0
34,7339,1000,5890250037000,0,0,0,0,73909749963000,79800000000000,0,0
35,6516,1000,-4592822787000,0,0,0,0,83231099931000,78638277144000,0,0
36,5683,1000,-10571769705000,0,0,0,0,88019854314000,77448084609000,0,0
37,4875,1000,-22521394602000,0,0,0,0,98831523924000,76310129322000,0,0
38,3989,1000,-27401514693000,0,0,0,0,102524648751000,75123134058000,0,0
39,3174,1000,-34048322826000,0,0,0,0,107935600584000,73887277758000,0,0
40,2304,1000,-42333419058000,0,0,0,0,114479234751000,72145815693000,0,0
41,1426,1000,-56216709528000,0,0,0,0,123218198733000,67001489205000,0,0
42,570,570,-56638291206000,0,0,0,0,117932072937000,61293781731000,0,0
43,177,177,0,0,0,0,0,116258417940000,116258417940000,0,0
44,155,155,-17766021000,0,0,0,0,120656422614000,120638656593000,0,0
45,162,162,341992728000,0,0,0,0,126867296598000,127209289326000,0,0
46,161,161,-1148024609736,0,0,0,0,124697651211000,123549626601264,0,0
47,129,129,-59220000000,0,0,0,0,112608970005000,112549750005000,0,0
48,148,148,-154333200000,0,0,0,0,105412893411000,105258560211000,0,0
49,97,98,-1586888331000,0,0,0,0,106845448542000,105258560211000,0,0
50,149,149,-55666800000,0,0,0,0,96714070383000,96658403583000,0,0
51,75,75,-6723390282000,0,0,0,0,103331481246000,96608090964000,0,0
52,49,49,55666800000,0,0,0,0,96608090964000,96663757764000,0,0
53,2,2,-203956591041000,0,0,0,0,312841148046000,108884557005000,0,0
54,86,86,0,0,0,0,0,94136216076000,94136216076000,0,0
55,94,95,-324233175000,0,0,0,0,94219716276000,93895483101000,0,0
56,161,161,-55666800000,0,0,0,0,94935953343000,94880286543000,0,0
57,147,147,-1447668537000,0,0,0,0,94935953343000,93488284806000,0,0
58,150,150,0,0,0,0,0,86897155884000,86897155884000,0,0
59,143,144,-83500200000,0,0,0,0,85039498509000,84955998309000,0,0
60,141,141,-462525903000,0,0,0,0,83057447025000,82594921122000,0,0
61,159,159,-3362046534000,0,0,0,0,73391311644000,70029265110000,0,0
62,132,133,21000000,0,0,0,0,88616867052000,88616888052000,0,0
63,93,93,219391977000,0,0,0,0,94691691885000,94911083862000,0,0
64,165,166,-21000000,0,0,0,0,94853235540000,94853214540000,0,0
65,139,139,-209979000000,0,0,0,0,100074637929000,99864658929000,0,0
66,166,166,-55666800000,0,0,0,0,98231402535000,98175735735000,0,0
67,156,157,-118440000000,0,0,0,0,101162909925000,101044469925000,0,0
68,147,147,-55666800000,0,0,0,0,101392152855000,101336486055000,0,0
69,158,158,-865473147000,0,0,0,0,104061341412000,103195868265000,0,0
70,154,154,-4225066419000,0,0,0,0,107476601484000,103251535065000,0,0
71,142,142,55666800000,0,0,0,0,115555519884000,115611186684000,0,0
72,158,158,-55666800000,0,0,0,0,110825031576000,110769364776000,0,0
73,157,157,0,0,0,0,0,105957098751000,105957098751000,0,0
74,155,155,-220500000000,0,0,0,0,98390552022000,98170052022000,0,0
75,163,163,-5277936384000,0,0,0,0,104094410238000,98816473854000,0,0
76,154,154,-1626492231000,0,0,0,0,94609750662000,92983258431000,0,0
77,161,161,-55666800000,0,0,0,0,93734156397000,93678489597000,0,0
78,156,156,-38966739000,0,0,0,0,85364290116000,85325323377000,0,0
79,156,156,0,0,0,0,0,82946842818000,82946842818000,0,0
80,154,154,55666800000,0,0,0,0,75785804136000,75841470936000,0,0
81,160,160,-55666800000,0,0,0,0,76926390954000,76870724154000,0,0
82,112,113,55666800000,0,0,0,0,78312479574000,78368146374000,0,0
83,151,151,-55666800000,0,0,0,0,82065277959000,82009611159000,0,0
84,156,156,55666800000,0,0,0,0,79333775325000,79389442125000,0,0
85,154,155,-55666800000,0,0,0,0,77137138575000,77081471775000,0,0
86,164,164,-5328651594000,0,0,0,0,80993995488000,75665343894000,0,0
87,132,132,-655740519000,0,0,0,0,76321084413000,75665343894000,0,0
88,153,153,185556000000,0,0,0,0,77282749824000,77468305824000,0,0
89,114,114,-210000000000,0,0,0,0,77492749824000,77282749824000,0,0
90,94,94,0,0,0,0,0,83046265239000,83046265239000,0,0
91,53,53,1847405049000,0,0,0,0,85023299802000,86870704851000,0,0
